Name,Age,Salary,Department,Experience
Xavier,37,42897,HR,4
Isabelle,44,128728,Marketing,12
Karen,53,31294,Operations,4
Nancy,57,164369,Marketing,13
Mia,34,85221,HR,12
Yvonne,53,57910,Finance,5
Tina,28,35171,IT,0
Laura,50,138277,HR,19
Laura,54,154349,Finance,19
Kevin,30,33356,Finance,3
Quincy,59,70119,Marketing,32
Jack,26,216112,Operations,6
David,24,196601,Finance,1
Wendy,49,82595,Marketing,4
Hannah,52,233515,Operations,5
Victoria,51,211676,IT,0
Zachary,60,173152,IT,27
Mia,42,83013,Marketing,6
Kevin,47,226964,Sales,24
Isabelle,25,177822,HR,5
Wendy,36,45586,Sales,2
Quincy,23,48557,IT,1
Ursula,45,34261,IT,7
Paula,21,150778,Marketing,0
Nancy,30,181702,IT,6
Adam,21,116733,Operations,1
Ivy,58,164392,HR,12
Rachel,33,113662,IT,1
William,55,178146,Operations,1
Helen,28,77100,Sales,2
Eva,44,102558,Sales,4
Frank,60,176526,IT,9
Karen,59,119601,Finance,34
Karen,44,41750,Marketing,1
Oscar,39,42006,IT,0
Sophia,25,96648,Marketing,5
Bob,45,75678,Finance,1
Nancy,60,106925,Marketing,17
Felix,52,50947,Finance,23
Helen,38,184680,HR,15
Ben,33,89269,Finance,3
Hannah,23,62126,Finance,2
Charlie,51,193501,Marketing,14
Quinn,21,239901,IT,0
Nancy,42,31191,Finance,21
Bob,60,52280,Finance,9
Quincy,60,178977,IT,7
Sophia,23,249901,Finance,1
William,43,98226,IT,1
Oscar,34,191960,IT,7
Eleanor,47,145241,HR,12
Felix,54,230105,IT,32
David,55,82437,IT,19
Ben,54,151677,Sales,33
Peter,20,238518,Finance,0
Samuel,32,109901,IT,12
Derek,48,183250,Marketing,1
Liam,50,138953,Marketing,11
Hannah,44,96629,IT,1
Samuel,29,170476,HR,5
Ivy,52,165745,Operations,3
Samuel,23,89727,Finance,1
Thomas,42,206995,Marketing,13
Ivy,27,207287,IT,3
Jacob,27,214105,IT,1
Charlie,33,95680,Operations,7
Zane,56,130249,HR,30
Xavier,28,116259,Operations,3
Hannah,53,75293,Sales,29
Grace,31,35632,HR,4
Rachel,34,172971,Operations,9
Rachel,48,128364,IT,5
Charlie,38,132722,Operations,2
Tina,31,153217,Operations,4
Victoria,31,132778,HR,11
Olivia,53,141054,HR,17
Alice,33,197846,Sales,11
Vincent,55,174506,HR,34
Adam,57,206887,Finance,34
Kevin,24,122837,IT,1
George,31,165666,Marketing,0
Peter,27,246072,IT,3
Bob,49,225873,Finance,27
Charlie,24,122052,Finance,3
Michael,29,136928,IT,0
Ursula,36,161620,Sales,0
Eva,49,130203,Marketing,2
Eva,47,220092,Sales,26
Thomas,34,63378,Operations,14
Eva,41,176538,Finance,14
Quincy,50,126494,HR,13
Bob,39,76699,Sales,16
Umar,38,141511,Operations,18
Xavier,26,227822,Sales,2
Xander,33,155293,Marketing,13
David,36,149103,IT,12
Rachel,38,205344,Sales,15
Bob,24,99205,Finance,0
Noah,35,150402,Marketing,11
Robert,33,73558,Operations,9
William,33,96276,Operations,1
Robert,30,119905,Finance,10
Ivy,56,59142,IT,36
Victoria,60,142216,HR,19
Quinn,40,128102,Finance,1
Catherine,33,152498,HR,4
Oscar,59,106570,Finance,26
Thomas,23,170861,Sales,2
Jacob,41,35863,Marketing,17
Zachary,29,237976,Marketing,4
Nancy,44,189821,Finance,8
Derek,39,165016,HR,9
Samuel,55,244356,Operations,25
Eleanor,29,98335,IT,1
Samuel,38,93064,Operations,13
Frank,55,55712,Finance,33
Mia,58,119903,Sales,30
Thomas,20,89574,Operations,0
Ursula,25,98340,Finance,5
Robert,33,185967,Finance,8
Hannah,24,177431,Operations,4
Ursula,28,90705,Sales,1
Thomas,57,109162,Sales,22
Derek,36,148289,Marketing,2
Paula,31,79118,Finance,5
Liam,26,104349,Operations,0
